Yaş,Kilometre,Motor Hacmi,Motor Gücü,Ortalama Yakıt Tüketimi,Depo Hacmi,Fiyat,log_Fiyat
12,59000.0,1598,132,6.6,60.0,795000,13.58609739363647
13,260000.0,1364,90,4.8,55.0,510000,13.142166004700508
11,141000.0,1598,124,7.1,55.0,680000,13.42984807715229
2,23459.0,1490,125,5.8,50.0,1014500,13.829906438248006
8,86000.0,1329,99,5.8,55.0,739000,13.513053199930338
2,22500.0,1490,125,5.8,50.0,1110000,13.919870573288517
9,321000.0,1364,90,4.1,55.0,570000,13.253391639810733
12,182000.0,1329,99,6.0,55.0,590000,13.287877815881902
6,185000.0,1364,90,4.1,55.0,827900,13.626647653126897
8,227000.0,1329,99,5.8,55.0,620000,13.337474757021274
6,91900.0,1364,90,4.1,55.0,992000,13.80747838626701
12,187000.0,1364,90,5.0,55.0,559000,13.233904752137237
6,27006.0,1329,99,5.5,50.0,744000,13.51979631381523
6,149299.0,1364,90,4.1,55.0,815000,13.610943392223
2,35147.0,1490,125,5.8,50.0,952000,13.766320313773502
5,55900.0,1598,132,6.1,55.0,890000,13.698976741708323
6,60500.0,1598,112,4.2,60.0,820000,13.617059619240436
3,45000.0,1598,132,5.5,50.0,1160000,13.963930563082547
8,125000.0,1598,132,6.1,55.0,705000,13.465953081794405
11,115000.0,1364,90,4.8,55.0,798000,13.589863876431945
10,158000.0,1364,90,4.1,55.0,780000,13.567049198665774
5,54000.0,1598,132,6.3,55.0,799350,13.591554176393037
10,250000.0,1364,90,4.1,55.0,720000,13.487006490992238
8,66000.0,1598,132,6.1,50.0,850000,13.652991628466498
12,121000.0,1364,90,4.8,55.0,749000,13.526494262499357
1,18600.0,1490,125,5.8,50.0,1195000,13.993656743347747
11,173000.0,1598,132,6.5,60.0,788000,13.577253368840017
12,124500.0,1364,90,4.7,55.0,635000,13.36138027787483
7,104000.0,1364,90,4.1,55.0,900000,13.710150042306449
10,185000.0,1364,90,4.1,55.0,710000,13.473020249017498
10,153000.0,1364,90,4.2,50.0,615000,13.329377546788654
9,95000.0,1329,99,5.5,50.0,685000,13.437174117244362
12,170000.0,1598,132,6.6,60.0,750000,13.527828485512494
6,139000.0,1598,132,6.1,55.0,943000,13.756821561615595
3,18000.0,1598,132,5.5,50.0,980000,13.795307850646754
11,285000.0,1364,90,4.8,55.0,550000,13.217673557208654
12,194000.0,1598,132,6.5,60.0,655000,13.39239051461739
7,68800.0,1329,99,5.8,55.0,725000,13.493926933836812
11,183000.0,1364,90,4.7,55.0,650000,13.38472764187182
3,24000.0,1598,132,5.5,50.0,1350000,14.115615150414612
11,83500.0,1364,90,4.7,55.0,810000,13.604789526648622
5,112000.0,1598,132,6.1,55.0,905000,13.715690222682063
10,173000.0,1364,90,4.8,55.0,740000,13.514405465180353
2,35000.0,1490,125,5.8,50.0,1075000,13.8878312195439
12,296000.0,1364,90,4.8,55.0,595000,13.296316684527767
7,10600.0,1364,90,4.1,55.0,800000,13.592367006650065
11,80000.0,1364,90,4.8,55.0,715000,13.480037821676145
1,10000.0,1490,125,5.8,50.0,1180000,13.981024996441848
1,12500.0,1490,125,5.8,50.0,1235000,14.026581528044215
1,35000.0,1490,125,5.8,50.0,1330000,14.100689500197937
11,125300.0,1364,90,4.8,55.0,815000,13.610943392223
3,42000.0,1598,132,5.5,50.0,945000,13.758940206475879
0,6010.0,1490,125,6.3,50.0,1315000,14.089347223594002
12,119500.0,1598,124,7.1,55.0,805000,13.5985975564007
5,45500.0,1598,132,6.3,55.0,850000,13.652991628466498
7,98000.0,1364,90,4.1,55.0,935000,13.748301808270824
7,94400.0,1329,99,5.8,55.0,745000,13.521139497361697
4,61500.0,1598,132,5.5,50.0,1055000,13.869051324892304
13,283750.0,1365,90,4.9,55.0,524500,13.17020070681849
6,214000.0,1329,99,5.8,55.0,670000,13.415032991367148
6,80000.0,1329,99,5.8,55.0,800000,13.592367006650065
12,104000.0,1364,90,4.7,55.0,660000,13.399995114002609
9,82500.0,1598,132,6.3,55.0,860000,13.664687668229691
12,160500.0,1598,124,7.0,55.0,685000,13.437174117244362
6,42000.0,1329,99,5.8,55.0,840000,13.641157170819497
9,152000.0,1364,90,4.1,55.0,748000,13.525158256956614
8,55000.0,1329,99,5.8,55.0,850000,13.652991628466498
13,224000.0,1364,90,4.8,55.0,550000,13.217673557208654
13,190000.0,1365,90,4.9,55.0,500000,13.122363377404328
10,151000.0,1364,90,4.2,50.0,769000,13.55284624848778
1,51000.0,1490,125,5.8,50.0,990000,13.805460222110773
2,45000.0,1490,125,5.8,50.0,915000,13.726679344257658
6,80000.0,1329,99,5.8,55.0,725000,13.493926933836812
6,87000.0,1598,132,6.3,55.0,870000,13.676248490630767
10,235000.0,1364,90,4.2,50.0,670000,13.415032991367148
8,60000.0,1329,99,5.8,50.0,705000,13.465953081794405
13,187500.0,1329,101,5.1,42.0,495000,13.112313041550827
8,139000.0,1364,90,4.1,55.0,855000,13.658856747918897
1,39700.0,1490,125,5.8,50.0,998950,13.814460006328096
7,76000.0,1598,132,6.1,55.0,1000000,13.815510557964274
5,42553.0,1496,111,4.8,42.0,815750,13.611863214455568
6,159798.0,1364,90,4.1,55.0,815000,13.610943392223
12,315000.0,1364,90,4.8,55.0,550000,13.217673557208654
10,143000.0,1364,90,4.2,50.0,835000,13.635187003832993
6,71000.0,1329,99,5.8,55.0,800000,13.592367006650065
6,36000.0,1329,99,5.8,55.0,795000,13.58609739363647
9,130000.0,1598,132,6.1,55.0,815000,13.610943392223
11,313000.0,1364,90,4.7,55.0,490000,13.102160670086809
8,128000.0,1364,90,4.1,55.0,699000,13.457406021215947
5,117400.0,1598,132,6.1,55.0,930000,13.742939865129438
7,65000.0,1329,99,5.8,50.0,745000,13.521139497361697
9,197500.0,1598,132,6.3,55.0,760000,13.541073712262515
4,65000.0,1598,132,5.5,50.0,990000,13.805460222110773
12,148000.0,1598,132,6.6,55.0,667500,13.411294669256542
8,102000.0,1329,99,4.8,42.0,685000,13.437174117244362
12,161000.0,1364,90,4.7,55.0,685000,13.437174117244362
11,245000.0,1364,90,4.8,55.0,630000,13.353475098367715
11,118000.0,1364,90,4.8,55.0,675000,13.422467969854667
12,215000.0,1598,132,6.6,60.0,632500,13.357435499583813
9,227500.0,1364,90,4.1,55.0,674000,13.420985389894444
7,36000.0,1329,99,5.8,50.0,750000,13.527828485512494
12,133000.0,1364,90,5.0,55.0,655000,13.39239051461739
6,70000.0,1329,99,5.8,55.0,800000,13.592367006650065
10,184400.0,1329,99,5.8,55.0,645000,13.37700559577791
6,66850.0,1329,99,5.8,50.0,749000,13.526494262499357
7,106000.0,1329,99,5.8,55.0,725000,13.493926933836812
5,120000.0,1364,90,4.1,55.0,899000,13.709038313453757
12,63500.0,1364,90,4.8,55.0,691000,13.445895102749807
10,90500.0,1364,90,4.1,55.0,795000,13.58609739363647
8,91500.0,1364,90,4.1,55.0,830500,13.629783208035487
7,152000.0,1364,90,4.1,55.0,790000,13.579788224443204
10,99800.0,1364,90,4.1,55.0,820000,13.617059619240436
13,273000.0,1364,90,4.7,55.0,618000,13.334243736439827
13,79000.0,1598,124,7.1,55.0,725000,13.493926933836812
13,192300.0,1598,124,7.2,55.0,620000,13.337474757021274
5,79500.0,1598,132,6.3,55.0,812300,13.607625009039046
1,19000.0,1490,125,5.8,50.0,1010000,13.825460888817442
9,111000.0,1598,132,6.3,55.0,770000,13.554145793829866
12,194000.0,998,69,5.0,42.0,435000,12.983101310070822
12,188000.0,1364,90,4.8,55.0,640000,13.369223455335854
7,162000.0,1329,98,5.1,42.0,820000,13.617059619240436
11,275000.0,1364,90,4.7,55.0,535000,13.190022025878143
10,107500.0,1364,90,4.2,50.0,730000,13.500799813124575
7,59250.0,1364,90,4.1,55.0,935000,13.748301808270824
7,138600.0,1364,90,4.1,55.0,805000,13.5985975564007
9,80000.0,1598,132,6.3,55.0,930000,13.742939865129438
7,111850.0,1364,90,4.1,55.0,819000,13.615839362835207
11,176500.0,1329,99,6.0,55.0,550000,13.217673557208654
5,76500.0,1329,99,5.8,55.0,695000,13.45166712454693
9,89000.0,1598,132,6.3,55.0,830000,13.62918097977278
1,16500.0,1490,125,5.8,50.0,1035000,13.849911984681606
11,107000.0,1329,99,5.9,55.0,625000,13.345506928718539
7,228000.0,1329,99,5.8,55.0,680000,13.42984807715229
11,169000.0,1598,124,7.0,55.0,660000,13.399995114002609
8,89000.0,1329,99,5.8,50.0,650000,13.38472764187182
1,38600.0,1490,125,5.8,50.0,990000,13.805460222110773
10,111000.0,1364,90,4.2,50.0,690000,13.444446876573442
7,132000.0,1598,132,5.7,50.0,835000,13.635187003832993
12,170000.0,1329,101,5.1,42.0,525000,13.17115354157376
11,215000.0,1364,90,4.7,55.0,595000,13.296316684527767
7,106000.0,1364,90,4.1,55.0,769750,13.553821065786746
3,57000.0,1598,132,5.5,50.0,1125000,13.933293593620657
4,39000.0,1598,132,5.5,50.0,1150000,13.955272500339433
6,68500.0,1329,98,5.1,42.0,799000,13.591116224748411
8,127000.0,1329,99,5.8,55.0,702500,13.462400680190038
8,113000.0,1329,99,5.8,55.0,628000,13.350295445450335
3,12500.0,1197,116,5.8,50.0,1175000,13.976778705560397
12,191000.0,998,69,5.0,42.0,390000,12.873902018105829
7,70000.0,1329,99,5.1,42.0,740000,13.514405465180353
13,100000.0,1329,101,5.1,42.0,500000,13.122363377404328
12,94000.0,1598,124,7.1,55.0,830000,13.62918097977278
2,24500.0,1490,125,5.8,50.0,1070000,13.883169206438088
4,22700.0,1598,132,5.5,50.0,1100000,13.9108207377686
8,105200.0,1329,99,5.8,55.0,680000,13.42984807715229
11,175000.0,1364,90,4.8,55.0,650000,13.38472764187182
6,36000.0,1329,99,5.8,55.0,795000,13.58609739363647
6,119000.0,1329,99,5.8,50.0,650000,13.38472764187182
8,54400.0,998,69,4.3,42.0,605000,13.312983737012978
7,114000.0,1329,99,5.8,55.0,698000,13.45597438174451
12,315000.0,1364,90,4.8,55.0,590000,13.287877815881902
13,149500.0,1598,124,7.0,55.0,751000,13.529160930746272
9,158000.0,1598,132,6.1,55.0,875000,13.681979165339751
12,218000.0,1364,90,4.7,55.0,640000,13.369223455335854
6,86086.0,1496,111,4.8,42.0,750000,13.527828485512494
12,63500.0,1598,124,7.0,55.0,690000,13.444446876573442
8,52300.0,1329,99,5.8,55.0,710000,13.473020249017498
8,116000.0,1364,90,4.1,55.0,835000,13.635187003832993
7,113000.0,1364,90,4.1,55.0,805000,13.5985975564007
12,233000.0,1364,90,4.7,55.0,635000,13.36138027787483
13,210000.0,1598,124,6.9,55.0,665000,13.407542319637992
1,20000.0,1490,125,5.8,50.0,1255000,14.042646130548022
3,38000.0,1490,125,4.7,42.0,916000,13.727771643656267
5,87847.0,1364,90,4.1,55.0,795000,13.58609739363647
10,162000.0,1364,90,4.1,55.0,755000,13.534473028231162
8,110000.0,1364,90,4.1,55.0,850000,13.652991628466498
6,259000.0,1364,90,4.1,55.0,810000,13.604789526648622
11,200000.0,1598,124,7.1,55.0,650000,13.38472764187182
2,59000.0,1490,125,5.8,50.0,1175000,13.976778705560397
7,143750.0,1598,132,6.1,55.0,770000,13.554145793829866
1,6001.0,998,72,4.5,42.0,870000,13.676248490630767
0,6001.0,1490,125,5.8,50.0,1354500,14.118942940507287
6,87000.0,1364,90,4.1,55.0,905000,13.715690222682063
6,143000.0,1364,90,4.1,55.0,845000,13.64709190633931
11,79000.0,1329,99,5.2,42.0,639500,13.368441900001034
9,155000.0,1364,90,4.1,55.0,830000,13.62918097977278
9,190000.0,1364,90,4.1,55.0,720000,13.487006490992238
4,37500.0,1598,132,5.5,50.0,1020000,13.835313185260453
2,22000.0,1490,125,5.8,50.0,1100000,13.9108207377686
7,91500.0,1329,99,5.8,55.0,717500,13.483528226615913
8,106000.0,1364,90,4.1,55.0,785000,13.573438996764546
12,200000.0,1329,99,6.0,55.0,550000,13.217673557208654
9,136500.0,1598,132,5.7,50.0,725000,13.493926933836812
7,79400.0,1329,99,5.1,42.0,720000,13.487006490992238
8,184000.0,1329,99,4.8,42.0,650000,13.38472764187182
8,85500.0,1329,99,5.0,42.0,720000,13.487006490992238
6,30000.0,1329,99,5.8,55.0,775000,13.560618308335483
9,127000.0,1364,90,4.2,50.0,710000,13.473020249017498
7,117000.0,1598,132,6.1,50.0,900000,13.710150042306449
2,27500.0,1490,125,5.8,50.0,985000,13.800396920154226
7,262000.0,1364,90,4.1,55.0,625500,13.346306608889103
10,135000.0,1364,90,4.8,55.0,715000,13.480037821676145
7,102453.0,1364,90,4.1,55.0,745000,13.521139497361697
11,117000.0,1598,124,7.0,55.0,700000,13.458835614025542
7,87000.0,1598,132,6.3,50.0,780000,13.567049198665774
10,182000.0,1364,90,4.1,55.0,680000,13.42984807715229
2,19000.0,1490,125,5.8,50.0,1090000,13.901688254205327
7,153000.0,1364,90,4.1,55.0,755000,13.534473028231162
7,198000.0,1364,90,4.1,55.0,765000,13.547631112808673
8,124000.0,998,69,4.3,42.0,558000,13.232114241363448
6,152000.0,1364,90,4.1,55.0,750000,13.527828485512494
12,260000.0,1364,90,4.8,55.0,683000,13.434250138552928
6,101917.0,1598,132,6.3,55.0,917000,13.728862751238601
3,111500.0,1598,132,5.5,50.0,960000,13.77468856344402
9,148000.0,1598,112,4.5,55.0,805000,13.5985975564007
7,95000.0,1364,90,4.1,55.0,835000,13.635187003832993
8,59200.0,1329,99,5.8,55.0,750000,13.527828485512494
8,105000.0,1364,90,4.1,55.0,750000,13.527828485512494
7,88300.0,1364,90,4.1,55.0,800000,13.592367006650065
8,194000.0,1329,99,5.8,55.0,675000,13.422467969854667
6,89990.0,1329,99,5.8,55.0,839000,13.639965985449344
10,233000.0,1364,90,4.1,55.0,655555,13.393237484081743
6,195000.0,1364,90,4.1,55.0,694500,13.450947441176535
10,140000.0,1364,90,4.8,55.0,675000,13.422467969854667
8,160800.0,1364,90,4.1,55.0,725000,13.493926933836812
1,16377.0,1490,125,5.8,50.0,1275000,14.058456736574664
5,149000.0,1364,90,4.1,55.0,805000,13.5985975564007
12,237000.0,1364,90,4.8,55.0,610000,13.321214236149494
9,120000.0,1598,132,5.7,50.0,890000,13.698976741708323
6,50200.0,1329,99,5.8,55.0,774000,13.559327152571864
9,106000.0,1364,90,4.1,55.0,899000,13.709038313453757
6,110000.0,1364,90,4.1,55.0,895000,13.704578997256993
3,53000.0,1598,132,5.5,50.0,945000,13.758940206475879
10,163000.0,1364,90,4.2,50.0,749000,13.526494262499357
13,248000.0,1364,90,4.7,55.0,460000,13.038981768465277
6,37000.0,1598,132,6.3,55.0,990000,13.805460222110773
6,44500.0,1329,99,5.8,55.0,810000,13.604789526648622
1,12000.0,1490,125,5.8,50.0,1280000,14.0623706358958
11,118700.0,1598,132,6.5,60.0,800000,13.592367006650065
8,149000.0,1598,132,6.1,55.0,790000,13.579788224443204
12,156000.0,1598,132,6.6,60.0,775000,13.560618308335483
12,116000.0,1329,99,5.9,55.0,639000,13.367659733359671
11,160000.0,998,69,4.8,42.0,470000,13.060487973686241
1,21300.0,1490,125,5.8,50.0,1060000,13.87377946608825
11,67000.0,1598,124,7.1,55.0,799000,13.591116224748411
7,195000.0,1329,99,5.8,50.0,680000,13.42984807715229
7,223000.0,1364,90,4.1,55.0,740000,13.514405465180353
3,39000.0,1598,132,5.5,50.0,990000,13.805460222110773
7,196184.0,1364,90,4.1,55.0,750000,13.527828485512494
3,51000.0,1598,132,5.5,50.0,969500,13.784535753664844
12,167000.0,1364,90,4.8,55.0,675000,13.422467969854667
12,230000.0,1364,90,4.8,55.0,600000,13.304684934198283
11,174000.0,1364,90,4.7,55.0,577000,13.265597545490236
4,149000.0,1598,132,5.5,50.0,885000,13.693342923990066
9,248000.0,1598,132,6.3,55.0,569999,13.253389885423228
2,13000.0,1490,125,5.8,50.0,1135000,13.94214320889764
13,162500.0,1598,124,7.0,55.0,708000,13.470199372675857
8,70380.0,1598,132,6.3,55.0,820000,13.617059619240436
6,102000.0,1598,132,6.3,55.0,909000,13.720100373159616
10,160000.0,1364,90,4.2,50.0,719999,13.487005102102385
7,69000.0,1598,132,6.1,50.0,950000,13.764217263576723
8,74000.0,1364,90,4.1,55.0,850000,13.652991628466498
12,186000.0,1364,90,4.8,55.0,670000,13.415032991367148
7,77500.0,1598,132,6.3,55.0,920000,13.732128949025222
7,48325.0,1598,132,6.6,60.0,920000,13.732128949025222
3,43000.0,1598,132,5.5,50.0,1050000,13.864300722133706
13,141000.0,1598,124,7.2,55.0,690000,13.444446876573442
8,145000.0,1364,90,4.1,55.0,635000,13.36138027787483
12,173000.0,1329,99,6.0,55.0,585000,13.279367126213993
3,79000.0,1598,132,5.5,50.0,905000,13.715690222682063
1,34000.0,1490,125,5.8,50.0,945000,13.758940206475879
12,108000.0,1329,101,5.1,42.0,605000,13.312983737012978
6,198000.0,1598,132,6.1,55.0,769000,13.55284624848778
3,29500.0,1598,132,5.5,50.0,939000,13.7525707581904
7,123000.0,1598,132,6.1,55.0,910000,13.721199878493033
8,109000.0,1329,99,5.8,55.0,739000,13.513053199930338
11,181698.0,1364,90,4.8,55.0,610000,13.321214236149494
3,49000.0,1598,132,5.5,50.0,1125000,13.933293593620657
8,110000.0,1598,132,6.1,55.0,859900,13.664571382398988
10,152000.0,1364,90,4.2,50.0,821000,13.618278388434565
5,80000.0,1598,132,6.3,55.0,897500,13.70736839934457
12,205000.0,1329,101,5.1,42.0,570000,13.253391639810733
7,43000.0,1329,99,5.8,55.0,720000,13.487006490992238
3,74000.0,1598,132,5.5,50.0,925000,13.737549016494562
7,86000.0,1598,132,6.1,50.0,858000,13.6623593784701
4,32700.0,1598,132,5.5,50.0,890000,13.698976741708323
7,77500.0,1329,99,5.8,50.0,755000,13.534473028231162
2,29848.0,1490,125,5.8,50.0,1095000,13.906264921232738
11,268000.0,1329,99,6.0,55.0,507000,13.13626628257332
3,24000.0,1598,132,5.5,50.0,995000,13.81049801614073
6,138000.0,1364,90,4.1,55.0,795000,13.58609739363647
7,142500.0,1364,90,4.1,55.0,704000,13.46453363514018
7,99000.0,1497,75,3.6,36.0,775000,13.560618308335483
3,14500.0,1490,125,4.7,42.0,930000,13.742939865129438
11,168000.0,1364,90,4.7,55.0,535000,13.190022025878143
12,165000.0,1329,99,5.9,55.0,610000,13.321214236149494
4,55000.0,1598,132,5.5,50.0,990000,13.805460222110773
10,168000.0,1364,90,4.8,55.0,725000,13.493926933836812
10,143000.0,1364,90,4.2,50.0,830000,13.62918097977278
11,165000.0,1364,90,5.0,55.0,635000,13.36138027787483
8,177500.0,1364,90,4.0,50.0,885000,13.693342923990066
13,202000.0,1364,90,4.7,55.0,555000,13.226723392728571
3,17950.0,1598,132,5.5,50.0,1070000,13.883169206438088
4,66000.0,1598,132,5.5,50.0,950000,13.764217263576723
0,6250.0,1490,125,6.3,50.0,1250000,14.038654109278484
7,60000.0,1364,90,4.1,55.0,945000,13.758940206475879
9,260000.0,1364,90,4.1,55.0,815000,13.610943392223
3,33000.0,1598,132,5.5,50.0,970000,13.785051350479566
10,193000.0,1364,90,4.2,50.0,625000,13.345506928718539
4,53000.0,1598,132,5.8,50.0,1025000,13.840203170554645
7,140000.0,1364,90,4.1,55.0,695000,13.45166712454693
11,250000.0,1364,90,4.7,55.0,575000,13.262125319779487
12,100500.0,1364,90,4.8,55.0,689000,13.442996549995796
7,80000.0,1329,99,5.8,50.0,810000,13.604789526648622
8,81000.0,1598,132,6.1,55.0,905000,13.715690222682063
13,240000.0,1364,90,4.8,55.0,655000,13.39239051461739
11,194500.0,1364,90,4.8,55.0,675000,13.422467969854667
8,182000.0,1364,90,4.1,55.0,755000,13.534473028231162
5,52000.0,1598,132,6.3,55.0,930000,13.742939865129438
7,81000.0,1329,99,5.8,55.0,730000,13.500799813124575
13,135700.0,1364,90,4.8,55.0,555000,13.226723392728571
8,120000.0,1364,90,4.1,55.0,785000,13.573438996764546
1,17000.0,1490,125,5.8,50.0,1350000,14.115615150414612
2,11500.0,998,72,4.5,42.0,720000,13.487006490992238
7,91000.0,1329,99,5.8,50.0,754500,13.53381055719004
6,55430.0,1329,99,5.8,50.0,761000,13.542388636843823
8,50000.0,1598,132,6.1,55.0,905000,13.715690222682063
12,172000.0,1364,90,5.0,55.0,648000,13.381645975334411
9,111000.0,1598,132,6.1,55.0,795000,13.58609739363647
7,104600.0,1329,99,5.8,55.0,700000,13.458835614025542
12,108000.0,1364,90,4.8,55.0,685000,13.437174117244362
13,192000.0,1598,132,6.5,60.0,650000,13.38472764187182
12,89000.0,1364,110,4.9,55.0,629500,13.35268113246654
10,64450.0,1329,99,5.2,42.0,579500,13.269920941761944
11,136500.0,1598,124,7.0,55.0,860000,13.664687668229691
8,77000.0,1329,99,5.8,55.0,752000,13.530491602931978
7,116000.0,1364,90,4.1,55.0,760000,13.541073712262515
11,144000.0,1598,132,6.6,55.0,695000,13.45166712454693
6,72500.0,1329,99,5.8,55.0,760000,13.541073712262515
6,89000.0,1329,99,5.8,55.0,780000,13.567049198665774
13,226000.0,1364,90,5.0,55.0,550000,13.217673557208654
10,143000.0,1598,132,5.9,50.0,660000,13.399995114002609
13,280000.0,1364,90,4.7,55.0,560000,13.235692062711331
10,260000.0,1364,90,4.1,55.0,625000,13.345506928718539
7,63500.0,1598,132,6.1,55.0,960000,13.77468856344402
7,135000.0,1329,99,5.8,55.0,760000,13.541073712262515
12,170000.0,1364,90,5.0,55.0,500000,13.122363377404328
11,209590.0,1364,90,4.8,55.0,635000,13.36138027787483
7,66150.0,1598,132,6.3,55.0,916000,13.727771643656267
8,70000.0,1598,132,6.3,55.0,825000,13.623138665316818
5,55000.0,1496,111,4.8,42.0,760000,13.541073712262515
10,144000.0,1598,132,5.7,50.0,760000,13.541073712262515
7,103000.0,1329,99,5.8,50.0,615000,13.329377546788654
11,112000.0,1364,90,4.7,55.0,695000,13.45166712454693
7,184000.0,1364,90,4.1,55.0,720000,13.487006490992238
12,139000.0,1598,124,7.0,55.0,710000,13.473020249017498
12,272000.0,1364,90,4.8,55.0,550000,13.217673557208654
12,191000.0,1364,90,4.8,55.0,715000,13.480037821676145
12,34000.0,1329,112,5.8,55.0,700000,13.458835614025542
8,157000.0,1364,90,4.1,55.0,830000,13.62918097977278
6,83600.0,1598,132,6.1,50.0,899000,13.709038313453757
7,151000.0,1598,132,6.3,55.0,825000,13.623138665316818
7,111500.0,1364,90,4.1,55.0,760000,13.541073712262515
12,159000.0,1329,99,6.0,55.0,590000,13.287877815881902
10,121000.0,1364,90,4.2,50.0,695000,13.45166712454693
9,197200.0,1364,90,4.1,55.0,745000,13.521139497361697
10,79000.0,1329,99,5.8,55.0,575000,13.262125319779487
8,116000.0,1598,132,6.3,55.0,820000,13.617059619240436
10,109000.0,1364,90,4.1,55.0,799999,13.592365756649283
11,230200.0,1364,90,4.8,55.0,625000,13.345506928718539
11,133333.0,1364,90,4.7,55.0,710000,13.473020249017498
11,89000.0,1329,99,5.0,42.0,650000,13.38472764187182
6,85000.0,1329,99,5.8,55.0,867000,13.672794255762678
1,16000.0,1490,125,5.8,50.0,1100000,13.9108207377686
6,62000.0,1496,111,4.8,42.0,745000,13.521139497361697
8,101000.0,1598,132,6.1,55.0,795000,13.58609739363647
9,152000.0,1364,90,4.2,50.0,745000,13.521139497361697
3,38000.0,1598,132,5.5,50.0,950000,13.764217263576723
12,140000.0,1364,90,4.8,55.0,765000,13.547631112808673
13,300000.0,1598,124,7.0,55.0,670000,13.415032991367148
11,115000.0,1364,90,4.8,55.0,770000,13.554145793829866
8,116000.0,1364,90,4.1,55.0,710000,13.473020249017498
2,49000.0,1490,125,5.8,50.0,990000,13.805460222110773
11,121000.0,1329,99,5.0,42.0,580000,13.270783382522602
4,25180.0,1598,132,5.8,50.0,950000,13.764217263576723
1,11000.0,1490,125,5.8,50.0,1080000,13.892471599100402
12,200000.0,1364,90,4.5,42.0,450000,13.017002861746503
10,152000.0,1364,90,4.1,55.0,660000,13.399995114002609
3,39908.0,1598,132,5.5,50.0,967000,13.781953774435431
11,44500.0,1329,99,5.0,42.0,689000,13.442996549995796
10,134000.0,1598,132,5.7,50.0,839000,13.639965985449344
10,86467.0,1598,132,5.7,50.0,869000,13.67509840424753
0,6100.0,1490,125,6.3,50.0,1378550,14.136542780097594
8,194000.0,1364,90,4.1,55.0,680000,13.42984807715229
11,76000.0,1364,90,4.7,55.0,830000,13.62918097977278
6,38500.0,1497,75,3.6,36.0,990000,13.805460222110773
7,113000.0,1364,90,4.1,55.0,896000,13.705695691957068
10,163000.0,1598,132,5.7,50.0,735000,13.507625778194974
6,109000.0,1329,99,5.8,55.0,790000,13.579788224443204
11,135000.0,1364,90,4.8,55.0,700000,13.458835614025542
8,164000.0,1598,132,6.1,55.0,695000,13.45166712454693
2,17000.0,1490,125,5.8,50.0,936000,13.74937075545973
10,88000.0,1329,99,5.0,42.0,730000,13.500799813124575
12,166900.0,1598,124,7.1,55.0,750000,13.527828485512494
8,111000.0,1598,132,6.3,50.0,750000,13.527828485512494
5,77000.0,1598,132,6.1,55.0,864000,13.669328047786193
8,120000.0,1364,90,4.1,55.0,775000,13.560618308335483
7,120000.0,1598,132,6.1,55.0,900000,13.710150042306449
2,33000.0,1490,125,5.8,50.0,950000,13.764217263576723
3,69000.0,1598,132,5.5,50.0,800000,13.592367006650065
11,89000.0,1364,90,5.0,55.0,730000,13.500799813124575
13,165000.0,1598,132,6.6,55.0,610000,13.321214236149494
5,180000.0,1329,99,5.8,55.0,650000,13.38472764187182
10,94000.0,1598,132,6.3,55.0,815000,13.610943392223
12,187000.0,1364,90,5.0,55.0,617500,13.33343434748427
11,138000.0,1598,124,7.0,55.0,720000,13.487006490992238
2,53000.0,1490,125,5.8,50.0,1115000,13.924364962876357
12,115000.0,1364,90,4.7,55.0,655000,13.39239051461739
11,59000.0,1598,132,6.6,55.0,735000,13.507625778194974
3,68658.0,1598,132,5.5,50.0,933000,13.74616047982948
5,49000.0,1598,132,6.3,55.0,885000,13.693342923990066
13,315000.0,1598,132,6.6,60.0,450000,13.017002861746503
2,11500.0,1490,125,4.7,42.0,1000000,13.815510557964274
11,190000.0,1329,99,6.0,55.0,576000,13.263862939678027
3,75250.0,1598,132,5.5,50.0,990000,13.805460222110773
8,189000.0,1364,90,4.1,55.0,790000,13.579788224443204
9,223000.0,1364,90,4.1,55.0,770000,13.554145793829866
12,111584.0,1329,101,5.1,42.0,575000,13.262125319779487
10,269000.0,1364,90,4.2,50.0,729000,13.499429010990795
11,117000.0,998,69,4.8,42.0,515000,13.151922179645874
4,110000.0,1598,132,5.8,50.0,915000,13.726679344257658
7,190000.0,1329,99,5.8,55.0,680000,13.42984807715229
8,77500.0,1364,90,4.1,55.0,870000,13.676248490630767
3,50350.0,1598,132,5.5,50.0,1040000,13.854731271117556
9,138035.0,1364,90,4.1,55.0,805000,13.5985975564007
11,193000.0,1598,132,6.6,60.0,669000,13.413539339110365
8,117000.0,1364,90,4.1,55.0,758000,13.53843866462451
7,48000.0,1598,132,6.1,55.0,950000,13.764217263576723
5,34000.0,1598,132,6.3,55.0,845000,13.64709190633931
7,135000.0,1364,90,4.1,55.0,875000,13.681979165339751
11,190000.0,1364,90,4.7,55.0,630000,13.353475098367715
13,298000.0,1598,132,6.6,55.0,550000,13.217673557208654
3,62356.0,1598,132,5.5,50.0,949000,13.763164077592064
8,127000.0,1329,99,5.8,55.0,690000,13.444446876573442
7,170000.0,1598,132,6.1,55.0,885000,13.693342923990066
12,220000.0,1329,99,5.9,55.0,464000,13.047639831208393
10,113650.0,1329,99,5.5,50.0,630000,13.353475098367715
12,252000.0,1364,90,4.7,55.0,478000,13.077366011473593
6,148500.0,998,69,4.7,42.0,610000,13.321214236149494
