,Ürün Kodu,Marka,Seri,Model,Araç Yılı,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş Tipi,Ortalama Yakıt Tüketimi,Depo Hacmi,Boya/Değişen Bilgisi,Takas Bilgisi,Satıcı,Fiyat
21,23800634,Ford,Fiesta,1.0 GTDi Titanium,2014,86.000 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,999 cc,100 hp,Önden Çekiş,"4,9 lt",42 lt,"
1 değişen
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",665.000
22,23799860,Ford,Focus,1.6 TDCi Style,2013,118.000 km,Düz,Dizel,Hatchback/5,Beyaz,1560 cc,115 hp,Önden Çekiş,"4,2 lt",53 lt,Belirtilmemiş,Sahibinden,Açıklama,805.000
23,23799690,Ford,Focus,1.6 TDCi Collection,2011,173.000 km,Düz,Dizel,Hatchback/5,Gri,1560 cc,110 hp,Önden Çekiş,"4,8 lt",55 lt,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",680.000
24,23799460,Ford,Fiesta,1.25 Trend,2014,143.000 km,Düz,Benzin,Hatchback/5,Beyaz,1242 cc,82 hp,Önden Çekiş,"5,2 lt",42 lt,"
1 değişen, 5 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",511.000
25,23800320,Ford,Fiesta,1.4 My Fiesta,2012,119.000 km,Otomatik,LPG & Benzin,Hatchback/5,Bordo,1388 cc,96 hp,Önden Çekiş,"6,5 lt",42 lt,Belirtilmemiş,Takasa Uygun,Galeriden,599.000
26,23800130,Ford,Focus,1.5 Ti-VCT Titanium,2019,43.000 km,Otomatik,Benzin,Hatchback/5,Mavi,1497 cc,123 hp,Önden Çekiş,"6,5 lt",52 lt,"
2 değişen
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",965.000
27,23799923,Ford,Focus,1.6 TDCi Trend,2013,200.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1560 cc,95 hp,Önden Çekiş,"4,2 lt",53 lt,"
4 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",680.000
28,23799829,Ford,Fiesta,1.4 Titanium,2010,46.000 km,Düz,LPG & Benzin,Hatchback/5,Bordo,1388 cc,96 hp,Önden Çekiş,"5,7 lt",42 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,570.000
29,23767614,Ford,Focus,1.6 TDCi Titanium,2014,41.000 km,Düz,Dizel,Station wagon,Beyaz,1560 cc,115 hp,Önden Çekiş,"5,3 lt",53 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,529.950
30,23799103,Ford,C-Max,1.6 TDCi Titanium X,2012,120.000 km,Düz,Dizel,MPV,Siyah,1560 cc,115 hp,Önden Çekiş,"4,6 lt",53 lt,Belirtilmemiş,-,Sahibinden,780.000
31,23799032,Ford,Focus,1.6 TDCi Titanium,2012,101.500 km,Düz,Dizel,Sedan,Gri,1560 cc,115 hp,Önden Çekiş,"4,2 lt",53 lt,"
1 değişen
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",780.000
32,23681068,Ford,Fiesta,1.4 TDCi Trend,2012,110.905 km,Düz,Dizel,Hatchback/5,Beyaz,1398 cc,70 hp,Önden Çekiş,"4,2 lt",45 lt,"
1 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",589.900
33,23455042,Ford,Focus,1.6 TDCi Titanium,2010,165.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1560 cc,110 hp,Önden Çekiş,"4,5 lt",55 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,620.000
34,23798766,Ford,Fiesta,1.4 TDCi My Fiesta,2011,174.000 km,Düz,Dizel,Hatchback/5,Siyah,1398 cc,70 hp,Önden Çekiş,"4,2 lt",45 lt,"
1 değişen, 3 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",520.000
35,23798763,Ford,Focus,1.6 Ti-VCT Style,2013,195.000 km,Yarı Otomatik,LPG & Benzin,Sedan,Beyaz,1596 cc,125 hp,Önden Çekiş,6 lt,55 lt,"
1 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",780.000
36,23435768,Ford,Fiesta,1.5 TDCi Trend,2016,173.000 km,Düz,Dizel,Hatchback/5,Beyaz,1498 cc,75 hp,Önden Çekiş,"3,7 lt",42 lt,"
4 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",625.000
37,23798616,Ford,Fiesta,1.4 TDCi Titanium,2010,181.000 km,Düz,Dizel,Hatchback/5,Gri,1398 cc,70 hp,Önden Çekiş,"4,2 lt",45 lt,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",597.000
38,23798642,Ford,Focus,1.5 TDCi Trend X,2018,118.000 km,Otomatik,Dizel,Sedan,Beyaz,1500 cc,120 hp,Önden Çekiş,"4,3 lt",47 lt,Belirtilmemiş,Takasa Uygun,Galeriden,915.000
39,23798237,Ford,Focus,1.6 Ti-VCT Trend X,2018,178.000 km,Düz,Benzin,Sedan,Beyaz,1596 cc,125 hp,Önden Çekiş,6 lt,55 lt,"
1 değişen, 1 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",795.000
40,23798215,Ford,Fiesta,1.4 TDCi Titanium X,2011,224.000 km,Düz,Dizel,Hatchback/5,Siyah,1398 cc,70 hp,Önden Çekiş,"4,2 lt",45 lt,"
2 değişen, 1 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Kredi
Ekspertiz
Yakıt
",475.000
41,23798064,Ford,Focus,1.6 TDCi Style,2012,176.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1560 cc,115 hp,Önden Çekiş,"4,2 lt",53 lt,"
4 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",673.000
42,23797521,Ford,B-Max,1.5 TDCi Titanium,2013,152.000 km,Düz,Dizel,MPV,Beyaz,1498 cc,75 hp,Önden Çekiş,"4,1 lt",48 lt,Belirtilmemiş,Sahibinden,Açıklama,580.000
43,23797602,Ford,Focus,1.5 TDCi Titanium,2018,77.500 km,Otomatik,Dizel,Sedan,Beyaz,1500 cc,120 hp,Önden Çekiş,"4,3 lt",47 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.050.000
44,23798239,Ford,Focus,1.6 TDCi Trend X,2014,185.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,95 hp,Önden Çekiş,"4,5 lt",53 lt,Belirtilmemiş,Takasa Uygun,Galeriden,670.000
45,23798150,Ford,Fiesta,1.5 TDCi Trend,2013,187.000 km,Düz,Dizel,Hatchback/5,Beyaz,1498 cc,75 hp,Önden Çekiş,"3,7 lt",42 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",580.000
46,23797942,Ford,Focus,1.6 Comfort,2011,239.000 km,Otomatik,LPG & Benzin,Hatchback/5,Beyaz,1596 cc,100 hp,Önden Çekiş,"6,7 lt",55 lt,Belirtilmemiş,Sahibinden,Açıklama,580.000
47,23797827,Ford,Fiesta,1.4 TDCi Trend,2012,186.000 km,Düz,Dizel,Hatchback/5,Gri,1398 cc,70 hp,Önden Çekiş,"4,2 lt",45 lt,"
1 değişen, 11 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",440.000
48,23797192,Ford,Focus,1.6 TDCi Collection,2010,190.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1560 cc,90 hp,Önden Çekiş,"4,7 lt",55 lt,"
2 değişen, 2 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",485.000
49,23797485,Ford,Focus,1.5 TDCi Titanium,2015,140.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1499 cc,120 hp,Önden Çekiş,"4,2 lt",55 lt,"
1 değişen, 1 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",850.000
50,22832985,Ford,Fiesta,1.25 Trend X,2014,92.000 km,Düz,Benzin,-,Hatchback/5,1242 cc,82 hp,Önden Çekiş,"5,2 lt",42 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,600.000
51,23796815,Ford,Focus,1.6 Ti-VCT Trend X,2013,114.000 km,Otomatik,Benzin,Sedan,Beyaz,"
1 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Kredi
Ekspertiz
Yakıt
",Araç Bilgileri,Yakıt,Açıklama,"Boya, Değişen ve Tramer","
Created by Arabam IT























































Ön Tampon














Sağ Arka Çamurluk


Motor Kaputu


Arka Kaput


Tavan





Arka Tampon







",715.000
52,23797447,Ford,C-Max,1.6 TDCi Titanium,2012,174.000 km,Düz,Dizel,MPV,Beyaz,1560 cc,115 hp,Önden Çekiş,"4,6 lt",53 lt,"
5 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",642.000
53,23025689,Ford,Focus,1.5 TDCi Trend X,2019,123.000 km,Otomatik,Dizel,Sedan,Beyaz,1500 cc,120 hp,Önden Çekiş,"4,3 lt",47 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",965.000
54,23797003,Ford,Focus,1.6 TDCi Trend,2017,237.000 km,Düz,Dizel,Sedan,Beyaz,Belirtilmemiş,Sahibinden,Açıklama,Kredi,"

Açıklama
Sağ sol çamurluk ve kaputun ön kısmı olmak üzere ikibuçuk parça boyalı değişen yok mart ayında triger seti değişti bakımları zamanında yapıldı masrafsız sorunsuz bir araç alana hayırlı olsun


Boya, Değişen ve Tramer



Created by Arabam IT























































Ön Tampon














Sağ Arka Çamurluk


Motor Kaputu


Arka Kaput


Tavan





Arka Tampon











Orijinal



Boyalı



Lokal Boyalı



Değişmiş



Belirtilmemiş








                                Orjinal
                            

-





                                Lokal boyalı
                            

-





                                Boyalı
                            

-





                                Değişmiş
                            

-





                                Belirtilmemiş
                            

Sağ Arka Çamurluk
Arka Kaput
Sol Arka Çamurluk
Sağ Arka Kapı
Sağ Ön Kapı
Tavan
Sol Arka Kapı
Sol Ön Kapı
Sağ Ön Çamurluk
Motor Kaputu
Sol Ön Çamurluk
Ön Tampon
Arka Tampon





                                    Tramer tutarı Belirtilmemiş
                                





Araç bilgileri


Genel Bakış


Yıl
2017


Kilometre
237.000 km


Vites Tipi
Düz


Yakıt Tipi
Dizel


Kasa Tipi
Sedan


Renk
Beyaz


Araç Türü
Bireysel


Plaka Uyruğu
(TR) Türkiye


Aracın ilk sahibiyim
İlk Sahibi Değilim


Kimden
Sahibinden






Kredi







                Akbank taşıt kredisi ile hayalindeki araca kavuş
            


            Hemen Başvur
        




Ekspertiz

Paketleri incele




Yakıt önerisi






Sahibinden Ford Focus 1.6 TDCi Trend 2017 Model Konya 237.000 km Beyaz

",Sağ sol çamurluk ve kaputun ön kısmı olmak üzere ikibuçuk parça boyalı değişen yok mart ayında triger seti değişti bakımları zamanında yapıldı masrafsız sorunsuz bir araç alana hayırlı olsun,"


Created by Arabam IT























































Ön Tampon














Sağ Arka Çamurluk


Motor Kaputu


Arka Kaput


Tavan





Arka Tampon











Orijinal



Boyalı



Lokal Boyalı



Değişmiş



Belirtilmemiş








                                Orjinal
                            

-





                                Lokal boyalı
                            

-





                                Boyalı
                            

-





                                Değişmiş
                            

-





                                Belirtilmemiş
                            

Sağ Arka Çamurluk
Arka Kaput
Sol Arka Çamurluk
Sağ Arka Kapı
Sağ Ön Kapı
Tavan
Sol Arka Kapı
Sol Ön Kapı
Sağ Ön Çamurluk
Motor Kaputu
Sol Ön Çamurluk
Ön Tampon
Arka Tampon





                                    Tramer tutarı Belirtilmemiş
                                


",Created by Arabam IT,490.000
55,23797473,Ford,Fiesta,1.6 Trend,2013,160.000 km,Yarı Otomatik,LPG & Benzin,Hatchback/5,Beyaz,1596 cc,105 hp,Önden Çekiş,"5,9 lt",42 lt,"
6 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",600.000
56,23056800,Ford,Fiesta,1.4 TDCi Titanium X,2011,330.000 km,Düz,Dizel,-,Hatchback/5,1398 cc,70 hp,Önden Çekiş,"4,2 lt",45 lt,"
1 değişen, 2 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",450.000
57,23797412,Ford,Focus,1.5 TDCi Trend X,2018,155.000 km,Otomatik,Dizel,Sedan,Beyaz,1500 cc,120 hp,Önden Çekiş,"4,3 lt",47 lt,Belirtilmemiş,Takasa Uygun,Galeriden,690.000
58,23797065,Ford,Focus,1.5 TDCi Trend X,2016,160.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1499 cc,120 hp,Önden Çekiş,"4,2 lt",55 lt,"
5 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",749.000
59,23797222,Ford,Focus,1.5 TDCi Titanium,2020,57.500 km,Otomatik,Dizel,Sedan,Beyaz,1500 cc,120 hp,Önden Çekiş,"4,3 lt",47 lt,Belirtilmemiş,Sahibinden,Açıklama,1.180.000
60,23797017,Ford,Fiesta,1.4 Titanium,2011,310.000 km,Düz,LPG & Benzin,Hatchback/5,Gri (metalik),1388 cc,96 hp,Önden Çekiş,"5,7 lt",42 lt,Belirtilmemiş,Sahibinden,Açıklama,409.999
61,23796844,Ford,B-Max,1.5 TDCi Titanium,2012,177.449 km,Düz,Dizel,MPV,Gri (titanyum),1498 cc,75 hp,Önden Çekiş,"4,1 lt",48 lt,"
3 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",536.000
62,,,,,,,,,,,,,,,,,,,
63,23443845,Ford,Fiesta,1.25 Trend,2013,118.500 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1242 cc,82 hp,Önden Çekiş,"5,2 lt",42 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",595.000
64,23796596,Ford,Fiesta,1.5 TDCi Trend,2015,134.000 km,Düz,Dizel,Hatchback/5,Beyaz,1498 cc,75 hp,Önden Çekiş,"3,7 lt",42 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,600.000
65,23795443,Ford,Focus,1.6 Ti-VCT Titanium,2012,215.000 km,Düz,LPG & Benzin,Sedan,Gri,1596 cc,125 hp,Önden Çekiş,6 lt,55 lt,"
1 değişen, 9 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",670.000
66,23796347,Ford,Focus,1.5 TDCi Trend X,2020,86.000 km,Otomatik,Dizel,Sedan,Beyaz,1500 cc,120 hp,Önden Çekiş,"4,3 lt",47 lt,"
4 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",975.000
67,23796360,Ford,Focus,1.6 Ti-VCT Trend X,2011,188.000 km,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1596 cc,115 hp,Önden Çekiş,"6,6 lt",55 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,575.000
68,23795741,Ford,Fiesta,1.4 TDCi Trend,2012,225.000 km,Düz,Dizel,Hatchback/5,Beyaz,1398 cc,70 hp,Önden Çekiş,"4,2 lt",45 lt,Belirtilmemiş,Sahibinden,Açıklama,485.000
69,23796123,Ford,C-Max,1.6 TDCi Titanium X,2012,121.000 km,Düz,Dizel,MPV,Beyaz,1560 cc,115 hp,Önden Çekiş,"4,6 lt",53 lt,"
1 değişen
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",735.000
70,23795586,Ford,Focus,1.6 TDCi Trend X,2012,185.000 km,Düz,Dizel,Hatchback/5,Gri,1560 cc,95 hp,Önden Çekiş,"4,2 lt",53 lt,"
1 değişen, 7 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",499.000
71,23796297,Ford,Fiesta,1.4 TDCi Trend,2010,105.000 km,Düz,Dizel,Hatchback/5,Gri,1398 cc,70 hp,Önden Çekiş,"4,2 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,500.000
72,23796121,Ford,Focus,1.6 Ti-VCT Trend,2012,166.000 km,Yarı Otomatik,LPG & Benzin,Sedan,Gri,1596 cc,125 hp,Önden Çekiş,6 lt,55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,725.000
73,23375520,Ford,Focus,1.5 TDCi Titanium,2019,52.000 km,Otomatik,Dizel,Sedan,Beyaz,1500 cc,120 hp,Önden Çekiş,"4,3 lt",47 lt,Belirtilmemiş,Sahibinden,Açıklama,1.150.000
74,23795582,Ford,Focus,1.6 TDCi Collection,2011,146.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,110 hp,Önden Çekiş,"4,8 lt",55 lt,Belirtilmemiş,Sahibinden,Açıklama,650.000
75,23795765,Ford,Fiesta,1.4 TDCi Trend,2012,200.000 km,Düz,Dizel,Hatchback/5,Gri,1398 cc,70 hp,Önden Çekiş,"4,2 lt",45 lt,"
1 değişen
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",480.000
76,23795082,Ford,Fiesta,1.4 TDCi Titanium X,2010,190.000 km,Düz,Dizel,Hatchback/5,Gri (metalik),1398 cc,70 hp,Önden Çekiş,"4,2 lt",45 lt,Belirtilmemiş,Sahibinden,Açıklama,518.000
77,23795572,Ford,Focus,1.6 TDCi Style,2011,256.000 km,Düz,Dizel,Hatchback/5,Gri,1560 cc,115 hp,Önden Çekiş,"4,2 lt",53 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",589.750
78,23443474,Ford,Fiesta,1.4 Titanium,2011,118.000 km,Otomatik,LPG & Benzin,Hatchback/5,1388 cc,96 hp,Önden Çekiş,"6,5 lt",42 lt,"
2 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",Araç Bilgileri,600.000
79,23795296,Ford,Focus,1.6 TDCi Trend,2010,335.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1560 cc,110 hp,Önden Çekiş,"4,5 lt",55 lt,"
1 değişen, 5 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",487.000
80,23795265,Ford,Focus,1.5 TDCi Trend X,2018,162.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1499 cc,120 hp,Önden Çekiş,"4,2 lt",55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,850.000
81,23795164,Ford,Focus,1.5 TDCi Titanium,2019,130.000 km,Otomatik,Dizel,Sedan,Beyaz,1500 cc,120 hp,Önden Çekiş,"4,3 lt",47 lt,"
2 değişen, 1 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.150.000
82,23794869,Ford,Fiesta,1.4 TDCi Trend,2012,148.000 km,Düz,Dizel,Hatchback/5,Gri,1398 cc,70 hp,Önden Çekiş,"4,2 lt",45 lt,Belirtilmemiş,Sahibinden,Açıklama,540.000
83,23790731,Ford,Fiesta,1.6 Titanium,2016,105.600 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1596 cc,105 hp,Önden Çekiş,"5,9 lt",42 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,760.000
84,23794923,Ford,Fiesta,1.5 TDCi Titanium,2015,129.850 km,Düz,Dizel,Hatchback/5,Beyaz,1498 cc,75 hp,Önden Çekiş,"3,7 lt",42 lt,"
1 değişen, 1 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",650.000
85,23743172,Ford,Focus,1.5 TDCi Trend X,2016,65.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1499 cc,120 hp,Önden Çekiş,"4,2 lt",55 lt,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",910.000
86,23794918,Ford,Focus,1.6 TDCi Trend X,2017,113.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,95 hp,Önden Çekiş,"4,5 lt",53 lt,Belirtilmemiş,Takasa Uygun,Galeriden,835.000
