,Ürün Kodu,Marka,Seri,Model,Araç Yılı,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş Tipi,Ortalama Yakıt Tüketimi,Depo Hacmi,Boya/Değişen Bilgisi,Takas Bilgisi,Satıcı,Fiyat
20,23795726,Skoda,SuperB,1.6 TDI Prestige,2019,55.000 km,Yarı Otomatik,Dizel,Station wagon,Gri (Gümüş),1598 cc,120 hp,Önden Çekiş,"3,9 lt",66 lt,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",1.565.000
21,23795108,Skoda,Octavia,1.6 TDI Style CR,2016,126.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",974.900
22,23793959,Skoda,Fabia,1.4 Ambiente Dynamic,2011,218.000 km,Düz,Benzin,Hatchback/5,Beyaz,1390 cc,85 hp,Önden Çekiş,"5,9 lt",45 lt,"
2 değişen, 3 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",445.500
23,23794897,Skoda,Octavia,1.6 TDI Elegance CR,2013,296.000 km,Yarı Otomatik,Dizel,Hatchback/5,Siyah,1598 cc,105 hp,Önden Çekiş,"3,9 lt",50 lt,"
1 değişen, 3 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",695.000
24,23792466,Skoda,Octavia,1.6 TDI Optimal,2018,185.500 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş,Sahibinden,Açıklama,812.500
25,23794642,Skoda,SuperB,1.6 TDI Prestige,2016,115.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.240.000
26,23791450,Skoda,SuperB,1.6 TDI Ambition,2014,225.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,6 lt",60 lt,"
1 değişen, 3 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",700.000
27,23791975,Skoda,SuperB,1.6 TDI Comfort,2018,78.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,"
1 değişen, 3 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",1.270.000
28,23792609,Skoda,SuperB,1.6 TDI Prestige,2016,162.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri (metalik),1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,"
1 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",1.350.000
29,23791892,Skoda,Fabia,1.2 TSI Style,2017,46.000 km,Yarı Otomatik,Benzin,Hatchback/5,Kırmızı,1197 cc,110 hp,Önden Çekiş,"4,7 lt",45 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",925.000
30,23791625,Skoda,SuperB,1.6 TDI Prestige,2018,67.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,"
1 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",1.510.000
31,23751397,Skoda,Rapid,1.4 TDI Style,2016,124.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1422 cc,90 hp,Önden Çekiş,"3,8 lt",55 lt,"
2 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",785.000
32,23707524,Skoda,Rapid,1.6 TDI Spaceback Elegance,2014,59.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,90 hp,Önden Çekiş,"4,6 lt",55 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",880.000
33,23710817,Skoda,SuperB,1.4 TSI Active,2017,109.000 km,Düz,Benzin,Hatchback/5,Beyaz,1395 cc,125 hp,Önden Çekiş,"5,3 lt",60 lt,"
1 değişen, 3 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",825.000
34,23710062,Skoda,SuperB,1.6 TDI Elegance,2015,221.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,6 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,1.000.000
35,23709830,Skoda,SuperB,2.0 TDI Prestige,2016,243.000 km,Yarı Otomatik,Dizel,Hatchback/5,Füme,1968 cc,190 hp,4WD (Sürekli),"4,9 lt",66 lt,Belirtilmemiş,Takasa Uygun,Galeriden,1.400.000
36,23709541,Skoda,Scala,1.6 TDI Premium,2020,145.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri (Gümüş),1598 cc,115 hp,Önden Çekiş,"4,1 lt",50 lt,"
2 değişen, 4 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",780.000
37,23638289,Skoda,SuperB,1.6 TDI Style,2018,155.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,"
1 değişen, 1 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.125.000
38,23635299,Skoda,Octavia,1.6 TDI Ambition,2016,205.417 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,"
3 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",795.000
39,23187285,Skoda,Octavia,1.6 TDI Optimal,2017,126.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,"
3 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",845.000
40,20021359,Skoda,Rapid,1.4 TDI Spaceback Style,2016,60.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1422 cc,90 hp,Önden Çekiş,"3,8 lt",55 lt,"
2 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",915.000
41,23635824,Skoda,SuperB,1.6 TDI Prestige,2013,178.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,6 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,860.000
42,23709601,Skoda,SuperB,1.6 TDI Style,2016,170.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,Belirtilmemiş,Takasa Uygun,Galeriden,1.200.000
43,23635891,Skoda,Octavia,1.6 TDI Style,2018,166.000 km,Yarı Otomatik,Dizel,Hatchback/5,Siyah,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,1.049.000
44,23709273,Skoda,Fabia,1.0 TSI Premium,2023,7.513 km,Yarı Otomatik,Benzin,Hatchback/5,Yeşil (metalik),999 cc,110 hp,Önden Çekiş,"4,6 lt",40 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.030.000
45,23637331,Skoda,SuperB,1.5 TSI Prestige,2022,42.000 km,Yarı Otomatik,Benzin,Hatchback/5,Füme,1498 cc,150 hp,Önden Çekiş,"5,4 lt",66 lt,"
1 değişen
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.749.000
46,23635968,Skoda,SuperB,1.6 TDI Comfort,2018,95.267 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.099.900
47,22519625,Skoda,Octavia,1.6 TDI Optimal,2019,108.000 km,Yarı Otomatik,Dizel,Beyaz,Hatchback/5,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,"
1 değişen, 3 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",877.750
48,23636097,Skoda,SuperB,1.6 TDI Comfort,2011,305.000 km,Düz,Dizel,Sedan,Siyah,1598 cc,105 hp,Önden Çekiş,5 lt,60 lt,"
3 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",650.000
49,23635655,Skoda,Rapid,1.0 TSI GreenTec Dynamic,2017,50.000 km,Yarı Otomatik,Benzin,Hatchback/5,Kırmızı,999 cc,95 hp,Önden Çekiş,"4,6 lt",55 lt,"
2 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",735.000
50,23790987,Skoda,SuperB,1.6 TDI Elegance,2012,167.000 km,Düz,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,5 lt,60 lt,"
2 değişen
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",820.000
51,23790171,Skoda,SuperB,1.5 TSI Prestige,2020,28.500 km,Yarı Otomatik,Benzin,Hatchback/5,Gri,1498 cc,150 hp,Önden Çekiş,"5,4 lt",66 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.615.000
52,23789868,Skoda,Octavia,1.2 TSI Ambition,2017,60.000 km,Düz,Benzin,Hatchback/5,Beyaz,1197 cc,86 hp,Önden Çekiş,"4,9 lt",50 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,790.000
53,23789872,Skoda,Roomster,1.6 TDI Panaroma,2012,148.000 km,Düz,Dizel,MPV,Beyaz,1598 cc,90 hp,Önden Çekiş,"4,7 lt",55 lt,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",575.000
54,23789909,Skoda,SuperB,1.6 TDI Comfort,2012,161.000 km,Düz,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,5 lt,60 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,775.000
55,23787190,Skoda,SuperB,1.6 TDI Comfort,2018,140.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.100.000
56,23442065,Skoda,SuperB,1.6 TDI Premium,2020,101.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri,1598 cc,120 hp,Önden Çekiş,"4,2 lt",66 lt,"
9 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.199.750
57,22645973,Skoda,Octavia,1.6 TDI Optimal,2016,177.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,"
1 değişen, 4 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",795.000
58,23789077,Skoda,SuperB,1.6 TDI Prestige,2018,170.000 km,Yarı Otomatik,Dizel,Sedan,Gri,1598 cc,105 hp,Önden Çekiş,"4,6 lt",60 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,1.345.000
59,23788753,Skoda,SuperB,1.6 TDI Prestige,2014,169.500 km,Yarı Otomatik,Dizel,Sedan,Siyah,1598 cc,105 hp,Önden Çekiş,"4,6 lt",60 lt,"
1 değişen, 1 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",930.000
60,23788683,Skoda,Octavia,1.6 TDI Elegance CR,2014,232.000 km,Yarı Otomatik,Dizel,Hatchback/5,Bej,1598 cc,105 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,780.000
61,23788559,Skoda,Fabia,1.0 GreenTec Style,2018,97.500 km,Yarı Otomatik,Benzin,Hatchback/5,Mavi,999 cc,110 hp,Önden Çekiş,"4,6 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,795.000
62,23788307,Skoda,SuperB,1.6 TDI Prestige,2015,200.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.250.053
63,23788301,Skoda,Octavia,1.6 TDI Elegance CR,2014,198.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"3,8 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,695.000
64,23468093,Skoda,Rapid,1.6 TDI Elegance,2014,115.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,90 hp,Önden Çekiş,"4,5 lt",55 lt,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",770.000
65,23786955,Skoda,Rapid,1.6 TDI Elegance,2014,162.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,90 hp,Önden Çekiş,"4,5 lt",55 lt,"
2 değişen, 1 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",695.000
66,23786314,Skoda,SuperB,1.6 TDI Prestige,2016,242.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.250.000
67,22608089,Skoda,Octavia,1.6 TDI Style CR,2016,227.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,"
2 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",875.000
68,23442379,Skoda,Octavia,1.6 TDI Optimal,2019,85.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.089.000
69,23055344,Skoda,SuperB,1.6 TDI Style,2017,190.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,"
1 değişen, 3 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.150.000
70,23782626,Skoda,Octavia,1.6 TDI Elegance,2015,126.000 km,Düz,Dizel,Station wagon,Beyaz,1598 cc,105 hp,4WD (Sürekli),"3,8 lt",50 lt,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",860.000
71,23785237,Skoda,SuperB,1.4 TSI Active,2018,386.500 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1395 cc,125 hp,Önden Çekiş,"5,3 lt",60 lt,Belirtilmemiş,Sahibinden,Açıklama,800.000
72,23630507,Skoda,Octavia,1.6 TDI Elegance,2012,157.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,7 lt",55 lt,"
2 değişen, 1 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",740.000
73,23703107,Skoda,SuperB,1.6 TDI Elite,2020,102.000 km,Yarı Otomatik,Dizel,Hatchback/5,Siyah,1598 cc,120 hp,Önden Çekiş,"4,2 lt",66 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.300.000
74,23705305,Skoda,SuperB,1.5 TSI Premium,2021,33.000 km,Yarı Otomatik,Benzin,Hatchback/5,Gri (metalik),1498 cc,150 hp,Önden Çekiş,"5,4 lt",66 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.359.750
75,23359011,Skoda,SuperB,1.6 TDI Style,2019,93.500 km,Yarı Otomatik,Dizel,Hatchback/5,Gri (titanyum),1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.490.000
76,23123891,Skoda,SuperB,1.6 TDI Active,2017,144.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,120 hp,Önden Çekiş,"4,2 lt",66 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,945.000
77,22962553,Skoda,Octavia,1.6 TDI Style CR,2018,123.000 km,Yarı Otomatik,Dizel,Beyaz,Hatchback/5,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,"
1 değişen
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.250.000
78,23704752,Skoda,SuperB,1.5 TSI L&K Crystal,2023,9.000 km,Yarı Otomatik,Benzin,Hatchback/5,Siyah,1498 cc,150 hp,Önden Çekiş,"5,4 lt",66 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",2.375.000
79,23704002,Skoda,Octavia,1.6 TDI Style,2018,310.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,4WD (Sürekli),"4,4 lt",55 lt,"
2 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",795.000
80,23703758,Skoda,Roomster,1.6 TDI Active,2012,92.000 km,Düz,Dizel,MPV,Bej,1598 cc,90 hp,Önden Çekiş,"4,7 lt",55 lt,"
4 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",519.900
81,23366925,Skoda,SuperB,1.5 TSI Premium,2021,193.389 km,Yarı Otomatik,Benzin,Hatchback/5,Gri,1498 cc,150 hp,Önden Çekiş,"5,4 lt",66 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.160.000
82,23359057,Skoda,Octavia,1.6 TDI Style CR,2016,103.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,1.150.000
83,23631976,Skoda,SuperB,1.6 TDI Active,2018,71.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,Belirtilmemiş,Takasa Uygun,Galeriden,1.219.800
84,23444771,Skoda,Scala,1.6 TDI Premium,2020,114.350 km,Yarı Otomatik,Dizel,Hatchback/5,Gri,1598 cc,115 hp,Önden Çekiş,"4,1 lt",50 lt,"
3 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",959.900
85,23784280,Skoda,Octavia,1.6 TDI Style CR,2016,79.100 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,920.000
86,23681320,Skoda,SuperB,1.6 TDI Comfort,2018,110.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,Belirtilmemiş,Takasa Uygun,Galeriden,1.320.000
87,23661215,Skoda,Rapid,1.2 TSI Spaceback Style,2016,120.000 km,Yarı Otomatik,Benzin,Hatchback/5,Kırmızı,1197 cc,90 hp,Önden Çekiş,"4,7 lt",55 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,725.000
88,23782439,Skoda,SuperB,1.5 TSI Prestige,2021,43.000 km,Yarı Otomatik,Benzin,Hatchback/5,Gri,1498 cc,150 hp,Önden Çekiş,"5,4 lt",66 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.645.000
89,23423563,Skoda,Octavia,1.6 TDI Elegance,2011,413.400 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,7 lt",55 lt,"
1 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",590.000
90,23780969,Skoda,SuperB,1.6 TDI Elegance,2013,209.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,6 lt",60 lt,Belirtilmemiş,Sahibinden,Açıklama,900.000
91,23780424,Skoda,Fabia,1.0 GreenTec Ambition,2017,145.000 km,Düz,Benzin,Hatchback/5,Beyaz,999 cc,75 hp,Önden Çekiş,"4,8 lt",45 lt,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",615.000
92,23780084,Skoda,Octavia,1.6 TDI Style,2017,65.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,1.100.000
